id,name,code,slug,status,created,modified,provider_id,latency,cost,inference,realtime_sts
119,charlotte,71a7ad14-091c-4e8e-a314-022ece01c121,charlotte,t,2025-12-20 12:51:27.870806+00,2025-12-23 06:52:31.371702+00,42,,0.00,t,f
121,niraj,zgqefOY5FPQ3bB7OZTVR,niraj,t,2025-12-20 12:55:06.913949+00,2025-12-23 06:52:59.085294+00,34,,0.00,t,f
122,anant,VbDz3QQGkAGePVWfkfwE,anant,t,2025-12-20 12:55:51.645672+00,2025-12-23 06:53:09.594288+00,34,,0.00,t,f
124,vera,5Do5Z5xDk12rh7FDDOoO,vera,t,2025-12-20 12:57:44.400325+00,2025-12-23 06:53:37.126198+00,34,,0.00,t,f
125,Ashley,Ashley,Ashley,t,2025-12-23 05:28:28.307361+00,2025-12-23 06:53:52.180548+00,61,,0.00,t,f
127,Edward,Edward,Edward,t,2025-12-23 05:30:33.843612+00,2025-12-23 06:54:26.103165+00,61,,0.00,t,f
128,Clive,Clive,Clive,t,2025-12-23 05:31:09.075219+00,2025-12-23 06:54:12.234132+00,61,,0.00,t,f
129,Truss,Truss,Truss,t,2025-12-23 05:58:32.054225+00,2025-12-23 06:56:40.000274+00,60,,0.00,t,f
130,Taru,Taru,Taru,t,2025-12-23 06:00:19.626269+00,2025-12-23 06:55:34.384879+00,60,,0.00,t,f
131,Avni,Avni,Avni,t,2025-12-23 06:00:46.347603+00,2025-12-24 14:07:24.722624+00,60,,0.00,t,f
132,Huxley,huxley,Huxley,t,2025-12-23 06:01:53.855116+00,2026-01-12 12:40:16.866522+00,40,,0.00,f,f
133,Kennedy,kennedy,Kennedy,t,2025-12-23 06:02:33.804224+00,2026-01-12 12:40:47.679867+00,40,,0.00,f,f
134,Ansel,ansel,Ansel,t,2025-12-23 06:03:47.530578+00,2026-01-12 12:39:04.701397+00,40,,0.00,f,f
157,Manisha,manisha,manisha,t,2025-12-24 07:38:29.811157+00,2026-01-19 17:03:46.241631+00,20,,0.00,f,f
120,Devi,MF4J4IDTRo0AxOO4dpFR,Devi,t,2025-12-20 12:54:35.584004+00,2026-01-22 12:50:23.996371+00,34,,0.00,f,f
103,Arushi,95d51f79-c397-46f9-b49a-23763d3eaa2d,arushi,t,2025-09-24 13:30:08.590137+00,2026-01-31 09:03:51.247089+00,42,,0.00,t,f
126,Wendy,Wendy,Wendy,t,2025-12-23 05:29:13.227305+00,2026-01-29 14:35:22.174796+00,,,0.00,t,f
145,Callirrhoe,Callirrhoe,Callirrhoe,t,2025-12-23 06:14:09.782532+00,2026-02-04 08:18:28.283243+00,47,,0.00,f,t
143,Autonoe,Autonoe,Autonoe,t,2025-12-23 06:12:37.634231+00,2026-02-04 08:18:55.814412+00,47,,0.00,f,t
150,Enceladus,Enceladus,Enceladus,t,2025-12-23 06:28:18.926522+00,2026-02-04 08:19:37.017467+00,47,,0.00,f,t
152,lapetus,Lapetus,Lapetus,t,2025-12-23 06:30:03.795238+00,2026-02-04 09:22:55.062019+00,47,,0.00,f,t
146,Algieba,Algieba,Algieba,t,2025-12-23 06:14:35.493675+00,2026-02-04 09:25:05.147544+00,47,,0.00,f,t
147,Despina,Despina,Despina,t,2025-12-23 06:15:01.856929+00,2026-02-04 09:25:45.178976+00,47,,0.00,f,t
144,Algenib,Algenib,Algenib,t,2025-12-23 06:13:19.713516+00,2026-02-04 09:26:47.63317+00,47,,0.00,f,t
153,Laomedeia,Laomedeia,Laomedeia,t,2025-12-23 06:30:34.69739+00,2026-02-04 09:28:15.722202+00,47,,0.00,f,t
151,Gacrux,Gacrux,Gacrux,t,2025-12-23 06:29:17.801068+00,2026-02-04 09:30:51.036142+00,47,,0.00,f,t
135,Zephyr,Zephyr,Zephyr,t,2025-12-23 06:05:57.172158+00,2026-02-04 12:10:39.532203+00,47,,0.00,f,t
136,Puck,Puck,Puck,t,2025-12-23 06:08:25.786569+00,2026-02-04 12:10:55.001471+00,47,,0.00,f,t
138,Charon,Charon,Charon,f,2025-12-23 06:09:49.480087+00,2026-02-04 12:11:11.478087+00,47,,0.00,f,t
137,Kore,Kore,Kore,t,2025-12-23 06:09:03.85075+00,2026-02-04 12:11:25.414086+00,47,,0.00,f,t
140,Fenrir,Fenrir,Fenrir,t,2025-12-23 06:10:53.81369+00,2026-02-04 12:11:54.47712+00,47,,0.00,f,t
139,Leda,Leda,Leda,t,2025-12-23 06:10:30.532902+00,2026-02-04 12:12:20.08952+00,47,,0.00,f,t
