id,created,modified,created_by,updated_by,name,description,url,slug,logo,token_limit,config,provider_id,tool_calling,inference,sort_order,status,realtime_sts,codename,cost
375,2025-12-22 07:01:33.660882+00,2026-01-05 08:13:47.924954+00,,,flux-general,"","",flux-general,"",,{},24,f,t,0,inactive,f,flux-general,0.0000
378,2025-12-22 08:08:05.344409+00,2026-01-05 08:13:47.945076+00,,,sonic-turbo,"","",sonic-turbo,"",,{},42,f,t,0,active,f,sonic-turbo,0.0000
384,2025-12-22 12:49:02.685778+00,2026-01-05 08:13:47.974652+00,,,mistv2,"","",mistv2,"",,{},60,f,t,0,inactive,f,mistv2,0.0000
385,2025-12-22 12:58:30.703179+00,2026-01-05 08:13:47.980943+00,,,blizzard,"","",blizzard,"",,{},40,f,f,0,active,f,blizzard,0.0000
396,2025-12-23 05:18:25.256325+00,2026-01-05 08:13:48.076548+00,,,claude-opus-4-20250514,"","",claude-opus-4-20250514,"",,{},16,f,f,0,inactive,f,claude-opus-4-20250514,0.0000
397,2025-12-23 05:20:08.099045+00,2026-01-05 08:13:48.085567+00,,,claude-opus-4-1-20250805,"","",claude-opus-4-1-20250805,"",,{},16,f,f,0,inactive,f,claude-opus-4-1-20250805,0.0000
398,2025-12-23 07:14:42.811423+00,2026-01-05 08:13:48.09346+00,,,deepseek-v3,"","",deepseek-v3,"",,{},62,f,t,0,inactive,f,deepseek-v3,0.0000
399,2025-12-23 07:15:33.604975+00,2026-01-05 08:13:48.100217+00,,,deepseek-v3.2,"","",deepseek-v32,"",,{},62,f,t,0,inactive,f,deepseek-v3.2,0.0000
400,2025-12-23 07:16:11.063598+00,2026-01-05 08:13:48.114018+00,,,kimi-k2-instruct,"","",kimi-k2-instruct,"",,{},62,f,t,0,inactive,f,kimi-k2-instruct,0.0000
401,2025-12-23 07:19:14.245099+00,2026-01-05 08:13:48.14088+00,,,qwen3-235b-a22b-instruct,"","",qwen3-235b-a22b-instruct,"",,{},62,f,t,0,inactive,f,qwen3-235b-a22b-instruct,0.0000
402,2025-12-23 07:24:04.845644+00,2026-01-05 08:13:48.146893+00,,,gpt-4.1-nano,"","",gpt-41-nano,"",,{},7,f,t,0,active,f,gpt-4.1-nano,0.0000
404,2025-12-23 07:26:18.014047+00,2026-01-05 08:13:48.152618+00,,,gemini-2.5-pro,"","",gemini-25-pro,"",,{},47,f,t,0,active,f,gemini-2.5-pro,0.0000
370,2025-11-05 12:23:10.637159+00,2026-01-23 20:16:19.909008+00,,,openai/gpt-oss-120b,"","",openai-gpt-oss-120b,"",250,{},10,t,t,0,inactive,f,openai/gpt-oss-120b,0.0000
374,2025-11-07 11:44:45.893006+00,2026-02-06 07:28:14.766234+00,,,gemini-2.5-flash-native-audio-latest,"","",gemini-2-5-flash-native-audio-latest,"",500,{},47,t,f,0,active,t,gemini-2.5-flash-native-audio-latest,0.0000
365,2025-10-26 17:08:32.63945+00,2026-01-26 16:55:58.92208+00,,,ink-whisper-2025-06-04,"","",ink-whisper-2025-06-04,"",500,{},55,f,f,0,inactive,f,ink-whisper-2025-06-04,0.0000
373,2025-11-07 09:16:18.164776+00,2026-02-06 09:14:41.519297+00,,,gemini-2.5-flash-native-audio-preview-12-2025,"","",gemini-live-2-5-flash-preview-native-audio-09-2025,"",500,{},47,t,f,0,active,t,gemini-2.5-flash-native-audio-preview-12-2025,0.0000
382,2025-12-22 12:38:53.048402+00,2026-01-29 10:47:29.57979+00,,,inworld-tts-1,"","",inworld-tts-1,"",,{},61,f,t,0,inactive,f,inworld-tts-1,0.0000
381,2025-12-22 12:37:53.863375+00,2026-01-29 10:47:29.580826+00,,,inworld-tts-1-max,"","",inworld-tts-1-max,"",,{},61,f,t,0,inactive,f,inworld-tts-1-max,0.0000
362,2025-10-25 21:46:20.189018+00,2026-02-10 07:49:30.445905+00,,,gpt-5-mini,"",https://parvi-mftufrw0-eastus2.cognitiveservices.azure.com/openai/responses?api-version=2025-04-01-preview,azure-gpt-5-mini,"",,{},48,t,t,0,active,f,gpt-5-mini,0.0000
372,2025-11-06 21:29:54.713087+00,2026-02-07 07:38:05.633463+00,,,gpt-realtime,"","",gpt-realtime,"",500,{},7,t,f,0,active,t,gpt-realtime,0.0000
371,2025-11-06 18:58:21.466172+00,2026-02-07 07:38:12.591993+00,,,gpt-realtime-mini,"","",gpt-realtime-mini,"",,{},7,t,f,0,active,t,gpt-realtime-mini,0.0000
388,2025-12-22 13:31:47.488969+00,2026-01-05 08:13:47.994818+00,,,gemini flash tts,"","",gemini-25-flash,"",,{},,f,f,0,inactive,f,gemini flash tts,0.0000
393,2025-12-22 13:35:07.972093+00,2026-01-05 08:13:48.040934+00,,,chirp 3: hd,"","",gemini-20-flash-lite-preview-02-05,"",,{},,f,f,0,inactive,f,chirp 3: hd,0.0000
394,2025-12-22 13:35:56.045862+00,2026-01-05 08:13:48.047708+00,,,gemini-2.5-flash lite Preview tts,"","",gemini-20-pro-exp-02-05,"",,{},,f,f,0,inactive,f,gemini-2.5-flash lite Preview tts,0.0000
377,2025-12-22 07:32:51.703223+00,2026-02-06 15:29:21.505879+00,,,universal-streaming-multilingual,"","",universal-streaming-multilingual,"",,{},59,f,t,0,active,f,universal-streaming-multilingual,0.0000
376,2025-12-22 07:30:05.607151+00,2026-02-06 15:29:33.043028+00,,,universal-streaming,"","",universal-streaming,"",,{},59,f,t,0,active,f,universal-streaming,0.0000
352,2025-10-05 15:55:44.431518+00,2026-02-07 12:40:15.632523+00,,,meta-llama/llama-4-scout-17b-16e-instruct,"","",llama-guard-4-12b,"",,{},10,f,f,0,active,f,meta-llama/llama-4-scout-17b-16e-instruct,0.0000
340,2025-09-24 10:08:46.114977+00,2026-02-07 14:31:51.703924+00,,,stt-rt-v4,"","",stt-rt-v4,"",,{},44,f,f,0,active,f,stt-rt-v4,0.0000
366,2025-10-29 13:29:01.890398+00,2026-02-11 17:07:07.160453+00,,,sonic-3,"","",sonic-3,"",,{},42,f,t,0,active,f,sonic-3,0.0000
395,2025-12-22 13:36:46.10333+00,2026-02-07 20:37:06.036492+00,,,gemini-2.5-flash-preview-tts,"","",gemini-2-5-flash-preview-tts,"",,{},47,f,f,0,active,f,gemini-2.5-flash-preview-tts,0.0000
406,2025-12-23 07:29:07.609512+00,2026-01-05 08:13:48.16405+00,,,gemini-2.0-flash,"","",gemini-20-flash,"",,{},47,f,t,0,inactive,f,gemini-2.0-flash,0.0000
408,2025-12-23 07:45:03.494865+00,2026-01-05 08:13:48.17631+00,,,deepseek-coder,"","",deepseek-coder,"",,{},63,f,f,0,inactive,f,deepseek-coder,0.0000
409,2025-12-23 07:47:48.570913+00,2026-01-05 08:13:48.183506+00,,,deepseek-chat,"","",deepseek-chat,"",,{},63,f,f,0,inactive,f,deepseek-chat,0.0000
410,2025-12-23 09:13:53.201068+00,2026-01-05 08:13:48.196346+00,,,grok-3,"","",grok-3,"",,{},56,f,f,0,inactive,f,grok-3,0.0000
411,2025-12-23 09:14:29.395265+00,2026-01-05 08:13:48.211557+00,,,grok-3-fast,"","",grok-3-fast,"",,{},56,f,f,0,inactive,f,grok-3-fast,0.0000
412,2025-12-23 09:15:05.162838+00,2026-01-05 08:13:48.229661+00,,,grok-3-mini,"","",grok-3-mini,"",,{},56,f,f,0,inactive,f,grok-3-mini,0.0000
413,2025-12-23 09:15:31.08915+00,2026-01-05 08:13:48.240271+00,,,grok-3-mini-fast,"","",grok-3-mini-fast,"",,{},56,f,f,0,inactive,f,grok-3-mini-fast,0.0000
414,2025-12-23 09:15:57.920484+00,2026-01-05 08:13:48.251743+00,,,grok-2-vision-1212,"","",grok-2-vision-1212,"",,{},56,f,f,0,inactive,f,grok-2-vision-1212,0.0000
415,2025-12-23 09:25:54.197451+00,2026-01-05 08:13:48.262731+00,,,grok-2-image-1212,"","",grok-2-image-1212,"",,{},56,f,f,0,inactive,f,grok-2-image-1212,0.0000
416,2025-12-23 09:26:34.363593+00,2026-01-05 08:13:48.273995+00,,,grok-2-1212,"","",grok-2-1212,"",,{},56,f,f,0,inactive,f,grok-2-1212,0.0000
417,2025-12-23 09:46:17.433942+00,2026-01-05 08:13:48.288347+00,,,llama-guard-3-8b,"","",llama-guard-3-8b,"",,{},10,f,f,0,inactive,f,llama-guard-3-8b,0.0000
429,2025-12-24 17:05:38.994513+00,2026-01-05 08:13:48.346642+00,,,claude-haiku-4-5,"","",claude-haiku-4-5,"",,{},16,t,f,0,inactive,f,claude-haiku-4-5,0.0000
313,2025-07-07 15:48:23+00,2026-01-22 12:28:16.014215+00,,,eleven_turbo_v2,"","",eleven_turbo_v2,"",,"""{}""",34,f,t,0,inactive,f,eleven_turbo_v2,0.0000
428,2025-12-24 07:15:58.106242+00,2026-01-23 04:34:33.44975+00,,,saarika:v2.5,"","",saarikav25,"",,{},64,f,f,0,active,f,saarika:v2.5,0.0000
383,2025-12-22 12:44:53.703914+00,2026-01-23 19:45:11.413678+00,,,arcana,"","",arcana,"",,{},60,f,t,0,inactive,f,arcana,0.0000
431,2025-12-27 13:13:38.240935+00,2026-01-23 19:51:50.057223+00,,,gpt-4.1,"","",gpt-41-1,"",,{},7,f,t,0,inactive,f,gpt-4.1,0.0000
430,2025-12-27 12:34:49.956472+00,2026-01-23 19:51:50.059573+00,,,gpt-4-turbo,"","",gpt-4-turbo-1,"",,{},7,f,f,0,inactive,f,gpt-4-turbo,0.0000
